,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code
303,7/9/14 19:43,7/9/14 19:43,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,Mountain,1,4,5,5
304,7/9/14 19:39,7/9/14 19:44,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,New England,1,2,0,3
306,7/9/14 19:39,7/9/14 19:43,"Single, but cohabiting with a significant other",1-5 years,Never,Pet Care,Female,18-29,Did not disclose,High school degree,South Atlantic,1,1,0,2
309,7/9/14 19:42,7/9/14 19:43,Married,More than 20 years,Never,Homemaker,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4
313,7/9/14 19:42,7/9/14 19:43,Married,6-10 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3
315,7/9/14 19:41,7/9/14 19:43,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2
316,7/9/14 19:41,7/9/14 19:42,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3
319,7/9/14 19:41,7/9/14 19:43,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4
320,7/9/14 19:41,7/9/14 19:42,Married,1-5 years,Never,retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2
323,7/9/14 19:41,7/9/14 19:42,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4
324,7/9/14 19:41,7/9/14 19:42,In a domestic partnership or civil union,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,0,2,4,5
327,7/9/14 19:40,7/9/14 19:42,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3
330,7/9/14 19:39,7/9/14 19:40,Married,More than 20 years,Never,Retired,Male,45-60,"$100,000 - $149,999",Graduate degree,East South Central,0,3,4,5
332,7/9/14 19:39,7/9/14 19:39,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
335,7/9/14 19:38,7/9/14 19:39,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic,0,3,5,4
336,7/9/14 19:38,7/9/14 19:40,Married,More than 20 years,Never,Laid off from Computer and Mathematical Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5
338,7/9/14 19:38,7/9/14 19:39,"Single, but cohabiting with a significant other",1-5 years,Never,Unemployed,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,0,1,1,3
340,7/9/14 19:37,7/9/14 19:38,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5
342,7/9/14 19:37,7/9/14 19:38,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3
343,7/9/14 19:37,7/9/14 19:38,Married,6-10 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
347,7/9/14 19:37,7/9/14 19:37,Married,More than 20 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
349,7/9/14 19:36,7/9/14 19:37,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,1,3,4
351,7/9/14 19:36,7/9/14 19:37,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,1,1,3,4
353,7/9/14 19:36,7/9/14 19:36,Married,More than 20 years,Never,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,1,3
354,7/9/14 19:36,7/9/14 19:37,Married,More than 20 years,Never,"Pastor, ministry related occupation",Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5
355,7/9/14 19:36,7/9/14 19:37,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,1,3,3,3
356,7/9/14 19:36,7/9/14 19:37,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5
359,7/9/14 19:35,7/9/14 19:37,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5
361,7/9/14 19:35,7/9/14 19:36,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,3,3,3
362,7/9/14 19:35,7/9/14 19:36,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Graduate degree,New England,0,3,0,5
363,7/9/14 19:35,7/9/14 19:44,Married,More than 20 years,Never,Student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,1,2,2,3
364,7/9/14 19:35,7/9/14 19:35,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,1,2,3,4
365,7/9/14 19:35,7/9/14 19:35,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5
366,7/9/14 19:34,7/9/14 19:35,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5
368,7/9/14 19:34,7/9/14 19:35,"Single, but cohabiting with a significant other",1-5 years,Never,Student,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,1,4,3
370,7/9/14 19:34,7/9/14 19:35,Married,More than 20 years,Never,Sales and Related Occupations,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4
371,7/9/14 19:34,7/9/14 19:34,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4
372,7/9/14 19:34,7/9/14 19:35,Married,1-5 years,Never,Student,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,1,1,2,3
374,7/9/14 19:33,7/9/14 19:34,In a domestic partnership or civil union,6-10 years,Never,retired,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,3,3,3
375,7/9/14 19:33,7/9/14 19:34,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5
380,7/9/14 19:33,7/9/14 19:33,Married,More than 20 years,Never,nonprofit,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central,0,3,3,5
382,7/9/14 19:33,7/9/14 19:33,Married,More than 20 years,Never,Retired,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5
383,7/9/14 19:33,7/9/14 19:33,Married,6-10 years,Never,IT Consultant,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
385,7/9/14 19:32,7/9/14 19:33,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
390,7/9/14 19:32,7/9/14 19:32,Married,6-10 years,Never,Sales and Related Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4
391,7/9/14 19:32,7/9/14 19:32,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,New England,0,2,0,3
392,7/9/14 19:31,7/9/14 19:32,Married,1-5 years,Never,Healthcare Support Occupations,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5
393,7/9/14 19:31,7/9/14 19:32,In a domestic partnership or civil union,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,0,4,3,2
397,7/9/14 19:31,7/9/14 19:31,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5
398,7/9/14 19:30,7/9/14 19:31,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3
399,7/9/14 19:30,7/9/14 19:31,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Mountain,1,1,1,3
403,7/9/14 19:29,7/9/14 19:31,Married,More than 20 years,Never,campground owner and small business owner,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific,1,4,3,5
404,7/9/14 19:29,7/9/14 19:31,Married,More than 20 years,Never,Compliance and Training Specialist,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,4,4,3
405,7/9/14 19:29,7/9/14 19:30,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,0,2,4,5
408,7/9/14 19:28,7/9/14 19:31,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,3,2,3
409,7/9/14 19:29,7/9/14 19:29,Married,1-5 years,Never,Healthcare Practitioners and Technical Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,1,4,3
410,7/9/14 19:28,7/9/14 19:29,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West North Central,1,4,0,5
412,7/9/14 19:28,7/9/14 19:28,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,New England,0,2,4,4
414,7/9/14 19:27,7/9/14 19:28,"Single, but cohabiting with a significant other",1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5
416,7/9/14 19:27,7/9/14 19:27,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
417,7/9/14 19:27,7/9/14 19:28,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,West South Central,1,2,5,4
419,7/9/14 19:26,7/9/14 19:27,"Single, but cohabiting with a significant other",6-10 years,Never,Legal Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,East North Central,1,1,1,4
424,7/9/14 19:26,7/9/14 19:27,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,High school degree,Middle Atlantic,0,4,0,2
425,7/9/14 19:26,7/9/14 19:27,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,High school degree,East North Central,0,3,0,2
429,7/9/14 19:25,7/9/14 19:27,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$150,000+",Bachelor degree,West South Central,0,4,5,4
431,7/9/14 19:26,7/9/14 19:26,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5
434,7/9/14 19:25,7/9/14 19:26,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,1,3,3,2
436,7/9/14 19:25,7/9/14 19:26,Married,More than 20 years,Never,MANUFACTURING,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5
437,7/9/14 19:25,7/9/14 19:26,Married,6-10 years,Never,Dietary,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3
439,7/9/14 19:24,7/9/14 19:25,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4
440,7/9/14 19:24,7/9/14 19:25,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5
441,7/9/14 19:24,7/9/14 19:24,Married,More than 20 years,Never,Management Occupations,Female,45-60,"$150,000+",Some college or Associate degree,West North Central,1,3,5,3
442,7/9/14 19:20,7/9/14 19:24,Married,6-10 years,Never,Unemployed/retired; Grassroots activist,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3
444,7/9/14 19:23,7/9/14 19:24,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,4,3,3
445,7/9/14 19:23,7/9/14 19:24,Married,More than 20 years,Never,retired,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3
447,7/9/14 19:23,7/9/14 19:24,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,1,1,3,4
448,7/9/14 19:23,7/9/14 19:24,Married,11-15 years,Never,Transcription,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4
450,7/9/14 19:22,7/9/14 19:23,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",High school degree,Middle Atlantic,1,4,2,2
452,7/9/14 19:22,7/9/14 19:23,Married,11-15 years,Never,Food Preparation and Serving Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Pacific,1,2,0,3
453,7/9/14 19:22,7/9/14 19:23,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Graduate degree,Pacific,1,2,0,5
455,7/9/14 19:22,7/9/14 19:23,In a domestic partnership or civil union,1-5 years,Never,Personal Care and Service Occupations,Female,18-29,Did not disclose,High school degree,Mountain,1,1,0,2
457,7/9/14 19:21,7/9/14 19:22,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5
461,7/9/14 19:21,7/9/14 19:22,Married,16-20 years,Never,fire department,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic,0,2,4,4
462,7/9/14 19:21,7/9/14 19:21,"Single, but cohabiting with a significant other",1-5 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
464,7/9/14 19:20,7/9/14 19:20,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
465,7/9/14 19:20,7/9/14 19:20,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,1,2,3
467,7/9/14 19:20,7/9/14 19:21,"Single, but cohabiting with a significant other",6-10 years,Never,dog groomer,Female,18-29,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,1,3,3
468,7/9/14 19:19,7/9/14 19:23,Married,More than 20 years,Never,"Installation, Maintenance, and Repair Occupations",Female,45-60,Did not disclose,High school degree,East South Central,1,3,0,2
470,7/9/14 19:19,7/9/14 19:19,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,Pacific,1,3,0,4
471,7/9/14 19:18,7/9/14 19:19,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5
472,7/9/14 19:18,7/9/14 19:19,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,Did not disclose,Some college or Associate degree,Pacific,1,3,0,3
474,7/9/14 19:18,7/9/14 19:19,Married,6-10 years,Never,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
476,7/9/14 19:18,7/9/14 19:18,Married,16-20 years,Never,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,East North Central,0,2,5,5
477,7/9/14 19:18,7/9/14 19:19,Married,More than 20 years,Never,Retired from substance abuse counseling.,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5
478,7/9/14 19:18,7/9/14 19:18,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4
479,7/9/14 19:18,7/9/14 19:18,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Graduate degree,East South Central,1,1,3,5
484,7/9/14 19:16,7/9/14 19:18,Married,More than 20 years,Never,Food Preparation and Serving Related Occupations,Female,45-60,"$25,000 - $49,999",Bachelor degree,East South Central,1,3,2,4
485,7/9/14 19:16,7/9/14 19:17,"Single, but cohabiting with a significant other",1-5 years,Never,Public safety,Female,18-29,"$50,000 - $99,999",Bachelor degree,New England,1,1,3,4
487,7/9/14 19:16,7/9/14 19:17,"Single, but cohabiting with a significant other",6-10 years,Never,Public Health,Female,18-29,"$0 - $24,999",Bachelor degree,West North Central,1,1,1,4
494,7/9/14 19:14,7/9/14 19:15,Married,1-5 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,2,3,4
496,7/9/14 19:14,7/9/14 19:15,Married,More than 20 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5
498,7/9/14 19:08,7/9/14 19:14,Married,16-20 years,Never,Sales and Related Occupations,Female,30-44,Did not disclose,Some college or Associate degree,Mountain,1,2,0,3
499,7/9/14 19:13,7/9/14 19:14,Married,16-20 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3
502,7/9/14 19:13,7/9/14 19:14,Married,1-5 years,Never,"Writing and editing, self-employed",Female,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,1,2,3,4
506,7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Graduate degree,Middle Atlantic,1,4,0,5
510,7/9/14 19:12,7/9/14 19:13,"Single, but cohabiting with a significant other",1-5 years,Never,Computer and Mathematical Occupations,Female,30-44,"$150,000+",Some college or Associate degree,East North Central,1,2,5,3
511,7/9/14 19:12,7/9/14 19:13,In a domestic partnership or civil union,1-5 years,Never,Computer and Mathematical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Mountain,1,3,4,3
512,7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,Retired,Female,> 60,"$150,000+",Graduate degree,West South Central,1,4,5,5
513,7/9/14 19:12,7/9/14 19:13,Married,More than 20 years,Never,retired,Male,> 60,"$50,000 - $99,999",High school degree,West North Central,0,4,3,2
514,7/9/14 19:12,7/9/14 19:13,Married,6-10 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",High school degree,East North Central,1,1,3,2
515,7/9/14 19:11,7/9/14 19:12,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3
516,7/9/14 19:11,7/9/14 19:12,In a domestic partnership or civil union,11-15 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,3,3,5
517,7/9/14 19:11,7/9/14 19:12,Married,16-20 years,Never,Human Resources,Female,30-44,"$100,000 - $149,999",Graduate degree,East North Central,1,2,4,5
518,7/9/14 19:11,7/9/14 19:12,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,1,3,3,4
520,7/9/14 19:11,7/9/14 19:11,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3
521,7/9/14 19:11,7/9/14 19:12,In a domestic partnership or civil union,1-5 years,Never,Sales and Related Occupations,Female,18-29,"$100,000 - $149,999",High school degree,Mountain,1,1,4,2
522,7/9/14 19:11,7/9/14 19:11,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5
524,7/9/14 19:10,7/9/14 19:10,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
525,7/9/14 19:10,7/9/14 19:11,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,West South Central,1,1,2,4
526,7/9/14 19:10,7/9/14 19:11,Married,More than 20 years,Never,graduate student,Female,45-60,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,3,3,4
527,7/9/14 19:09,7/9/14 19:11,Married,More than 20 years,Never,Semi-retired Job-Shop,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,4,4,3
529,7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4
530,7/9/14 19:09,7/9/14 19:10,In a domestic partnership or civil union,1-5 years,Never,Customer Service,Male,18-29,Did not disclose,Some college or Associate degree,Did not disclose,0,1,0,3
531,7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3
532,7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5
534,7/9/14 19:09,7/9/14 19:10,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5
535,7/9/14 19:09,7/9/14 19:09,Married,11-15 years,Never,Legal Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,West South Central,1,4,3,5
536,7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,Protective Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
537,7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,Retired,Female,> 60,"$50,000 - $99,999",Graduate degree,West North Central,1,4,3,5
539,7/9/14 19:08,7/9/14 19:09,Married,More than 20 years,Never,retired educator,Female,> 60,"$50,000 - $99,999",Graduate degree,East North Central,1,4,3,5
540,7/9/14 19:08,7/9/14 19:08,Married,11-15 years,Never,Sales and Related Occupations,Male,45-60,"$100,000 - $149,999",High school degree,Middle Atlantic,0,3,4,2
543,7/9/14 19:07,7/9/14 19:08,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5
544,7/9/14 19:07,7/9/14 19:08,Married,1-5 years,Never,Legal Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5
545,7/9/14 19:07,7/9/14 19:08,Married,11-15 years,Never,Community and Social Service Occupations,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5
547,7/9/14 19:07,7/9/14 19:08,Married,More than 20 years,Never,Pastoral Care and Relgiouls Studies,Female,45-60,"$0 - $24,999",Graduate degree,Middle Atlantic,1,3,1,5
548,7/9/14 19:07,7/9/14 19:08,Married,6-10 years,Never,Sales and Related Occupations,Female,45-60,"$100,000 - $149,999",Graduate degree,East South Central,1,3,4,5
550,7/9/14 19:06,7/9/14 19:08,Married,11-15 years,Never,Retired from medical device clinical trials but do consulting,Female,> 60,"$150,000+",Graduate degree,East North Central,1,4,5,5
554,7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,West North Central,0,4,4,4
556,7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,Did not disclose,Graduate degree,Middle Atlantic,0,4,0,5
558,7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,Investment management,Male,> 60,"$150,000+",Bachelor degree,South Atlantic,0,4,5,4
559,7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3
560,7/9/14 19:05,7/9/14 19:06,Married,More than 20 years,Never,retired/volunteer,Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5
562,7/9/14 19:05,7/9/14 19:06,Married,11-15 years,Never,Safety and Occupational Health,Male,> 60,"$50,000 - $99,999",Graduate degree,West North Central,0,4,3,5
564,7/9/14 19:04,7/9/14 19:06,Married,More than 20 years,Never,Retired!,Male,> 60,"$50,000 - $99,999",Bachelor degree,Pacific,0,4,3,4
566,7/9/14 19:04,7/9/14 19:05,Married,11-15 years,Never,Production Occupations,Female,30-44,"$100,000 - $149,999",Bachelor degree,Pacific,1,2,4,4
567,7/9/14 19:03,7/9/14 19:05,Married,More than 20 years,Never,Commercial real estate,Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5
568,7/9/14 19:03,7/9/14 19:04,Married,More than 20 years,Never,Production Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East South Central,0,3,4,3
571,7/9/14 19:03,7/9/14 19:04,Married,More than 20 years,Never,Business and Financial Operations Occupations,Female,> 60,Did not disclose,High school degree,Middle Atlantic,1,4,0,2
572,7/9/14 19:03,7/9/14 19:03,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0
573,7/9/14 19:03,7/9/14 19:03,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,30-44,"$150,000+",Bachelor degree,New England,0,2,5,4
576,7/9/14 19:03,7/9/14 19:03,Married,More than 20 years,Never,Healthcare Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,South Atlantic,1,2,0,3
577,7/9/14 19:02,7/9/14 19:04,Married,More than 20 years,Never,retired,Female,> 60,"$50,000 - $99,999",High school degree,West North Central,1,4,3,2
578,7/9/14 19:02,7/9/14 19:03,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$50,000 - $99,999",Bachelor degree,New England,0,4,3,4
579,7/9/14 19:02,7/9/14 19:03,Married,1-5 years,Never,Computer and Mathematical Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,0,1,3,4
581,7/9/14 19:02,7/9/14 19:22,Married,More than 20 years,Never,Homemaker,Female,45-60,"$50,000 - $99,999",High school degree,South Atlantic,1,3,3,2
582,7/9/14 19:02,7/9/14 19:03,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,45-60,"$0 - $24,999",Bachelor degree,South Atlantic,1,3,1,4
585,7/9/14 19:01,7/9/14 19:03,Married,More than 20 years,Never,boatbuilder repair,Male,> 60,Did not disclose,Some college or Associate degree,New England,0,4,0,3
590,7/9/14 19:01,7/9/14 19:02,Divorced,Less than 1 year,Never,"Education, Training, and Library Occupations",Male,30-44,"$0 - $24,999",Bachelor degree,Pacific,0,2,1,4
593,7/9/14 19:00,7/9/14 19:00,Married,6-10 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3
597,7/9/14 18:59,7/9/14 19:00,Married,More than 20 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,New England,0,4,3,5
598,7/9/14 18:58,7/9/14 19:00,Married,More than 20 years,Never,Architecture and Engineering Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,Mountain,0,4,3,5
