,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,RelationshipLength_code,Frequency in separate beds_code,sleep together?
270,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,3.0,0.0,1.0
271,Married,More than 20 years,Every night,Management & Community Development Consultant,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific,0,4,3,5,5.0,5.0,0.0
272,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,5.0,0.0,1.0
273,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3,5.0,0.0,1.0
274,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,3.0,0.0,1.0
275,Married,1-5 years,Once a year or less,Healthcare Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,1,1,1,3,1.0,1.0,0.0
276,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific,0,3,4,5,4.0,0.0,1.0
277,Married,More than 20 years,Never,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,West North Central,0,4,5,5,5.0,0.0,1.0
278,In a domestic partnership or civil union,6-10 years,A few times per month,Speculator,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,0,2,3,4,2.0,3.0,0.0
279,Married,11-15 years,A few times per month,Legal Occupations,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,3.0,3.0,0.0
280,Married,More than 20 years,Once a year or less,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,5.0,1.0,0.0
281,Married,More than 20 years,Once a month or less,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4,5.0,2.0,0.0
282,Married,11-15 years,Never,Government,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5,3.0,0.0,1.0
283,"Single, but cohabiting with a significant other",1-5 years,Every night,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,1.0,5.0,0.0
284,Married,More than 20 years,Never,outdoor power equipment sales and service,Male,45-60,"$50,000 - $99,999",High school degree,New England,0,3,3,2,5.0,0.0,1.0
285,"Single, but cohabiting with a significant other",1-5 years,Every night,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Some college or Associate degree,West South Central,0,2,0,3,1.0,5.0,0.0
286,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,5.0,5.0,0.0
287,Married,More than 20 years,Once a year or less,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,5.0,1.0,0.0
288,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,5.0,0.0,1.0
289,Married,1-5 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$150,000+",Graduate degree,West South Central,1,2,5,5,1.0,2.0,0.0
290,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,3.0,0.0,1.0
291,Married,6-10 years,Once a year or less,Food Preparation and Serving Related Occupations,Female,30-44,"$0 - $24,999",Some college or Associate degree,Pacific,1,2,1,3,2.0,1.0,0.0
292,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,5.0,0.0,1.0
293,Married,11-15 years,A few times per week,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,3,4,3,3.0,4.0,0.0
294,Married,More than 20 years,Never,Retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
295,Married,More than 20 years,Once a year or less,Semi-retired,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,0,4,4,5,5.0,1.0,0.0
296,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,East North Central,1,3,3,5,5.0,0.0,1.0
297,Married,6-10 years,Never,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,3,3,5,2.0,0.0,1.0
298,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
299,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,1,3,4,5,3.0,2.0,0.0
300,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Bachelor degree,East North Central,0,2,0,4,2.0,0.0,1.0
301,Married,6-10 years,A few times per month,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,East South Central,1,3,3,5,2.0,3.0,0.0
302,Divorced,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,2,2,3,1.0,0.0,1.0
303,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,Mountain,1,4,5,5,5.0,0.0,1.0
304,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,New England,1,2,0,3,1.0,0.0,1.0
305,Married,More than 20 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,5.0,1.0,0.0
306,"Single, but cohabiting with a significant other",1-5 years,Never,Pet Care,Female,18-29,Did not disclose,High school degree,South Atlantic,1,1,0,2,1.0,0.0,1.0
307,Married,16-20 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,2,3,3,4.0,2.0,0.0
308,Married,More than 20 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,1.0,0.0
309,Married,More than 20 years,Never,Homemaker,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,5.0,0.0,1.0
310,Married,More than 20 years,Every night,telecomunication,Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,5.0,5.0,0.0
311,Married,More than 20 years,Every night,retired,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,5.0,5.0,0.0
312,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Research,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,0,1,3,4,2.0,1.0,0.0
313,Married,6-10 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,2.0,0.0,1.0
314,Married,6-10 years,Once a month or less,Agricultural business,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,1,2,4,5,2.0,2.0,0.0
315,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2,5.0,0.0,1.0
316,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3,5.0,0.0,1.0
317,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,West North Central,1,3,0,4,5.0,1.0,0.0
318,Married,6-10 years,Once a year or less,Management Occupations,Female,30-44,"$150,000+",Graduate degree,East North Central,1,2,5,5,2.0,1.0,0.0
319,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,5.0,0.0,1.0
320,Married,1-5 years,Never,retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2,1.0,0.0,1.0
321,Married,16-20 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,0,4,4.0,1.0,0.0
322,In a domestic partnership or civil union,More than 20 years,Once a month or less,disabled student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,2,2,3,5.0,2.0,0.0
323,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,2.0,0.0,1.0
324,In a domestic partnership or civil union,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,0,2,4,5,1.0,0.0,1.0
325,Married,11-15 years,A few times per month,maintenance,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,3.0,3.0,0.0
326,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,5.0,5.0,0.0
327,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3,5.0,0.0,1.0
328,Married,More than 20 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,5.0,1.0,0.0
329,Widowed,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
330,Married,More than 20 years,Never,Retired,Male,45-60,"$100,000 - $149,999",Graduate degree,East South Central,0,3,4,5,5.0,0.0,1.0
331,Married,More than 20 years,Once a month or less,education,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,5.0,2.0,0.0
332,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
333,Married,More than 20 years,Once a month or less,Retired,Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,5.0,2.0,0.0
334,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Management Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,0,2,5,5,1.0,2.0,0.0
335,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic,0,3,5,4,5.0,0.0,1.0
336,Married,More than 20 years,Never,Laid off from Computer and Mathematical Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5,5.0,0.0,1.0
337,Married,1-5 years,Once a year or less,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,1.0,0.0
338,"Single, but cohabiting with a significant other",1-5 years,Never,Unemployed,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,0,1,1,3,1.0,0.0,1.0
339,Married,11-15 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,4,2,3,3.0,5.0,0.0
340,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,5.0,0.0,1.0
341,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,4,4,3,5.0,5.0,0.0
342,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,5.0,0.0,1.0
343,Married,6-10 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
344,Married,More than 20 years,Once a year or less,Legal Occupations,Female,45-60,Did not disclose,Some college or Associate degree,West North Central,1,3,0,3,5.0,1.0,0.0
345,Married,More than 20 years,Every night,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,5.0,5.0,0.0
346,In a domestic partnership or civil union,16-20 years,Every night,state employment,Female,45-60,"$25,000 - $49,999",High school degree,East North Central,1,3,2,2,4.0,5.0,0.0
347,Married,More than 20 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
348,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Office and Administrative Support Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,1,2,4,5,1.0,2.0,0.0
349,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,1,3,4,1.0,0.0,1.0
350,Married,1-5 years,Once a year or less,Management Occupations,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,1,3,5,4,1.0,1.0,0.0
351,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,1,1,3,4,2.0,0.0,1.0
352,Married,More than 20 years,Once a year or less,Transportation and Materials Moving Occupations,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,5.0,1.0,0.0
353,Married,More than 20 years,Never,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,1,3,5.0,0.0,1.0
354,Married,More than 20 years,Never,"Pastor, ministry related occupation",Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,5.0,0.0,1.0
355,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,1,3,3,3,2.0,0.0,1.0
356,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,4.0,0.0,1.0
357,Married,16-20 years,A few times per month,Sales and Related Occupations,Male,30-44,"$150,000+",Some college or Associate degree,Pacific,0,2,5,3,4.0,3.0,0.0
358,Married,More than 20 years,Once a year or less,retired,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,1,4,4,4,5.0,1.0,0.0
359,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,5.0,0.0,1.0
360,Married,6-10 years,Once a year or less,Research,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central,0,1,1,4,2.0,1.0,0.0
361,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,3,3,3,5.0,0.0,1.0
362,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Graduate degree,New England,0,3,0,5,5.0,0.0,1.0
363,Married,More than 20 years,Never,Student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,1,2,2,3,5.0,0.0,1.0
364,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,1,2,3,4,1.0,0.0,1.0
365,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,5.0,0.0,1.0
366,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5,5.0,0.0,1.0
367,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,5.0,3.0,0.0
368,"Single, but cohabiting with a significant other",1-5 years,Never,Student,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,1,4,3,1.0,0.0,1.0
369,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
370,Married,More than 20 years,Never,Sales and Related Occupations,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,5.0,0.0,1.0
371,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,5.0,0.0,1.0
372,Married,1-5 years,Never,Student,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,1,1,2,3,1.0,0.0,1.0
373,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,0,4,4,5,5.0,5.0,0.0
374,In a domestic partnership or civil union,6-10 years,Never,retired,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,3,3,3,2.0,0.0,1.0
375,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,5.0,0.0,1.0
376,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,5.0,5.0,0.0
377,Married,More than 20 years,A few times per week,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,5.0,4.0,0.0
378,Married,More than 20 years,Once a year or less,Management Occupations,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,5.0,1.0,0.0
379,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,4,4,3,5.0,5.0,0.0
380,Married,More than 20 years,Never,nonprofit,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central,0,3,3,5,5.0,0.0,1.0
381,Married,11-15 years,Once a month or less,Personal Care and Service Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,1,2,3,5,3.0,2.0,0.0
382,Married,More than 20 years,Never,Retired,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,5.0,0.0,1.0
383,Married,6-10 years,Never,IT Consultant,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
384,Divorced,1-5 years,Once a month or less,bartender,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,3,4,3,1.0,2.0,0.0
385,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,0.0,1.0
386,"Single, but cohabiting with a significant other",1-5 years,Every night,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,1,1,3,4,1.0,5.0,0.0
387,Separated,1-5 years,Once a month or less,Management Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,1,2,2,4,1.0,2.0,0.0
388,Married,11-15 years,A few times per week,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,3.0,4.0,0.0
389,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1.0,3.0,0.0
390,Married,6-10 years,Never,Sales and Related Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4,2.0,0.0,1.0
391,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,New England,0,2,0,3,2.0,0.0,1.0
392,Married,1-5 years,Never,Healthcare Support Occupations,Female,18-29,"$50,000 - $99,999",Graduate degree,East North Central,1,1,3,5,1.0,0.0,1.0
393,In a domestic partnership or civil union,More than 20 years,Never,Retired,Male,> 60,"$50,000 - $99,999",High school degree,Middle Atlantic,0,4,3,2,5.0,0.0,1.0
394,In a domestic partnership or civil union,11-15 years,Every night,both retired,Male,> 60,Did not disclose,Graduate degree,East North Central,0,4,0,5,3.0,5.0,0.0
395,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,3.0,1.0,0.0
396,Married,More than 20 years,Once a year or less,Biotechnology,Male,45-60,"$150,000+",Graduate degree,East North Central,0,3,5,5,5.0,1.0,0.0
397,Married,More than 20 years,Never,Retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,5.0,0.0,1.0
398,Married,11-15 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,3.0,0.0,1.0
399,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Mountain,1,1,1,3,1.0,0.0,1.0
400,Married,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,,,
401,Married,11-15 years,A few times per week,Construction and Extraction Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,Mountain,0,3,3,5,3.0,4.0,0.0
402,"Single, but cohabiting with a significant other",1-5 years,A few times per week,Transportation and Materials Moving Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,2,3,3,1.0,4.0,0.0
403,Married,More than 20 years,Never,campground owner and small business owner,Female,> 60,"$50,000 - $99,999",Graduate degree,Pacific,1,4,3,5,5.0,0.0,1.0
404,Married,More than 20 years,Never,Compliance and Training Specialist,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,4,4,3,5.0,0.0,1.0
405,Married,1-5 years,Never,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,West North Central,0,2,4,5,1.0,0.0,1.0
406,Married,6-10 years,Once a month or less,Office and Administrative Support Occupations,Female,18-29,Did not disclose,Graduate degree,Pacific,1,1,0,5,2.0,2.0,0.0
407,Married,More than 20 years,Every night,Production Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,New England,1,4,3,3,5.0,5.0,0.0
408,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,3,2,3,5.0,0.0,1.0
409,Married,1-5 years,Never,Healthcare Practitioners and Technical Occupations,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,1,4,3,1.0,0.0,1.0
410,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West North Central,1,4,0,5,5.0,0.0,1.0
411,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0.0,2.0,0.0
412,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,"$100,000 - $149,999",Bachelor degree,New England,0,2,4,4,2.0,0.0,1.0
413,Married,6-10 years,Every night,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,2.0,5.0,0.0
414,"Single, but cohabiting with a significant other",1-5 years,Never,Legal Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,1.0,0.0,1.0
415,Married,11-15 years,Once a year or less,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,1,3,3,2,3.0,1.0,0.0
416,Married,More than 20 years,Never,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,5.0,0.0,1.0
417,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,30-44,"$150,000+",Bachelor degree,West South Central,1,2,5,4,2.0,0.0,1.0
418,Married,1-5 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,18-29,"$50,000 - $99,999",Graduate degree,West North Central,0,1,3,5,1.0,1.0,0.0
419,"Single, but cohabiting with a significant other",6-10 years,Never,Legal Occupations,Female,18-29,"$0 - $24,999",Bachelor degree,East North Central,1,1,1,4,2.0,0.0,1.0
420,Separated,16-20 years,Once a month or less,non profit,Female,45-60,"$150,000+",Graduate degree,South Atlantic,1,3,5,5,4.0,2.0,0.0
421,"Single, but cohabiting with a significant other",1-5 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Pacific,1,1,3,4,1.0,1.0,0.0
422,Married,More than 20 years,Every night,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,5.0,5.0,0.0
423,Married,6-10 years,Every night,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,2.0,5.0,0.0
424,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,High school degree,Middle Atlantic,0,4,0,2,5.0,0.0,1.0
425,Married,More than 20 years,Never,Management Occupations,Male,45-60,Did not disclose,High school degree,East North Central,0,3,0,2,5.0,0.0,1.0
426,Divorced,6-10 years,A few times per week,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,West North Central,0,3,2,4,2.0,4.0,0.0
427,In a domestic partnership or civil union,11-15 years,A few times per month,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,West North Central,0,4,3,4,3.0,3.0,0.0
428,"Single, but cohabiting with a significant other",Less than 1 year,Once a month or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,1,1,3,4,0.0,2.0,0.0
429,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,> 60,"$150,000+",Bachelor degree,West South Central,0,4,5,4,5.0,0.0,1.0
430,Married,16-20 years,Once a year or less,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,0,3,3,4,4.0,1.0,0.0
431,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,5.0,0.0,1.0
432,Married,6-10 years,Once a month or less,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$25,000 - $49,999",High school degree,East North Central,0,2,2,2,2.0,2.0,0.0
433,Separated,More than 20 years,Every night,Sales and Related Occupations,Female,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,1,3,3,4,5.0,5.0,0.0
434,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",High school degree,East North Central,1,3,3,2,2.0,0.0,1.0
435,Married,More than 20 years,Once a year or less,research,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,East North Central,1,3,3,3,5.0,1.0,0.0
436,Married,More than 20 years,Never,MANUFACTURING,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,5.0,0.0,1.0
437,Married,6-10 years,Never,Dietary,Female,> 60,Did not disclose,Some college or Associate degree,East North Central,1,4,0,3,2.0,0.0,1.0
438,Married,More than 20 years,Every night,Legal Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,3,4,3,5.0,5.0,0.0
439,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,3,3,4,5.0,0.0,1.0
440,Married,More than 20 years,Never,Business and Financial Operations Occupations,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,5.0,0.0,1.0
441,Married,More than 20 years,Never,Management Occupations,Female,45-60,"$150,000+",Some college or Associate degree,West North Central,1,3,5,3,5.0,0.0,1.0
442,Married,6-10 years,Never,Unemployed/retired; Grassroots activist,Female,> 60,Did not disclose,Some college or Associate degree,New England,1,4,0,3,2.0,0.0,1.0
443,Married,11-15 years,Once a year or less,Community and Social Service Occupations,Male,> 60,"$100,000 - $149,999",Graduate degree,West South Central,0,4,4,5,3.0,1.0,0.0
