,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,Occupation,Gender,Age,Household income,Education,Location,Gender_code,Age_code,Household income_code,Education_code,sleep together?
190,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,0
191,Married,6-10 years,Every night,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,Mountain,0,2,5,5,0
192,Married,11-15 years,Every night,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain,0,3,2,4,0
193,In a domestic partnership or civil union,11-15 years,Never,Sales and Related Occupations,Male,30-44,"$150,000+",Some college or Associate degree,South Atlantic,0,2,5,3,1
194,Married,More than 20 years,Once a year or less,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,0,3,5,5,0
195,Married,More than 20 years,A few times per week,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
196,Married,More than 20 years,Once a month or less,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,0,3,3,4,0
197,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,1
198,Married,More than 20 years,Never,Healthcare Support Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,0,4,4,4,1
199,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,Bachelor degree,East South Central,1,4,0,4,1
200,In a domestic partnership or civil union,More than 20 years,A few times per week,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
201,Married,More than 20 years,Every night,Management Occupations,Male,30-44,"$50,000 - $99,999",High school degree,New England,0,2,3,2,0
202,Married,11-15 years,Every night,Telecommunications,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,2,3,3,0
203,Married,16-20 years,Once a year or less,Healthcare Practitioners and Technical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,0,3,4,5,0
204,Married,More than 20 years,Never,Wood product industry- manufacturing,Male,45-60,"$50,000 - $99,999",Bachelor degree,Pacific,0,3,3,4,1
205,Married,16-20 years,Once a year or less,librarian,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,1,4,0,4,0
206,Married,More than 20 years,Once a year or less,Legal Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,0
207,Married,More than 20 years,Every night,retired,Male,> 60,Did not disclose,Some college or Associate degree,East North Central,0,4,0,3,0
208,Married,More than 20 years,A few times per month,retired,Male,> 60,Did not disclose,Bachelor degree,South Atlantic,0,4,0,4,0
209,Widowed,1-5 years,Never,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,0,4,3,4,1
210,Married,More than 20 years,Every night,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,0,4,4,3,0
211,Married,More than 20 years,Never,Retired Management,Female,> 60,"$100,000 - $149,999",Bachelor degree,New England,1,4,4,4,1
212,Married,More than 20 years,Every night,retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,1,4,3,2,0
213,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,0
214,Married,16-20 years,A few times per week,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,0,3,3,4,0
215,Married,More than 20 years,Never,police,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,4,4,3,1
216,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,> 60,Did not disclose,Graduate degree,West South Central,1,4,0,5,1
217,Married,More than 20 years,Never,Caregiver,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3,1
218,"Single, but cohabiting with a significant other",Less than 1 year,Never,"Education, Training, and Library Occupations",Male,18-29,"$0 - $24,999",Less than high school degree,East North Central,0,1,1,1,1
219,Married,More than 20 years,Every night,retired,Female,> 60,Did not disclose,Bachelor degree,East North Central,1,4,0,4,0
220,Married,11-15 years,Once a year or less,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,New England,0,2,4,5,0
221,Married,More than 20 years,A few times per month,Business and Financial Operations Occupations,Male,30-44,Did not disclose,High school degree,Mountain,0,2,0,2,0
222,Married,More than 20 years,Every night,Flight Instructor,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,4,4,3,0
223,Married,More than 20 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
224,"Single, but cohabiting with a significant other",11-15 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,0
225,Married,More than 20 years,Once a year or less,Retired. do babysit for my grandchild but not for money.,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,1,4,3,5,0
226,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,Middle Atlantic,0,4,4,4,1
227,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
228,Married,11-15 years,Every night,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic,0,4,2,4,0
229,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,4,4,3,1
230,Married,More than 20 years,A few times per week,retired,Female,> 60,"$150,000+",Bachelor degree,East North Central,1,4,5,4,0
231,Married,More than 20 years,Every night,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,0
232,Married,16-20 years,Never,Management Occupations,Male,30-44,Did not disclose,Some college or Associate degree,Pacific,0,2,0,3,1
233,Married,More than 20 years,Never,Sales and Related Occupations,Male,> 60,Did not disclose,Some college or Associate degree,West North Central,0,4,0,3,1
234,Married,More than 20 years,Once a month or less,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central,0,4,3,4,0
235,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,East North Central,0,4,3,5,1
236,"Single, but cohabiting with a significant other",More than 20 years,Never,government grant,Male,45-60,Did not disclose,Bachelor degree,East North Central,0,3,0,4,1
237,Married,6-10 years,Never,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,South Atlantic,1,2,4,5,1
238,"Single, but cohabiting with a significant other",1-5 years,Never,Architecture and Engineering Occupations,Female,18-29,"$100,000 - $149,999",Bachelor degree,Pacific,1,1,4,4,1
239,Married,1-5 years,A few times per month,Stay at home parent,Female,30-44,Did not disclose,Some college or Associate degree,West South Central,1,2,0,3,0
240,Married,More than 20 years,Every night,Retired,Female,> 60,Did not disclose,Bachelor degree,West North Central,1,4,0,4,0
241,"Single, but cohabiting with a significant other",Less than 1 year,A few times per week,Food Preparation and Serving Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,1,1,1,3,0
242,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Computer and Mathematical Occupations,Female,18-29,"$25,000 - $49,999",Bachelor degree,West North Central,1,1,2,4,0
243,Married,6-10 years,Every night,"Installation, Maintenance, and Repair Occupations",Male,30-44,"$25,000 - $49,999",High school degree,East North Central,0,2,2,2,0
244,Married,More than 20 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East South Central,1,4,4,3,0
245,Married,1-5 years,Once a month or less,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic,1,2,3,5,0
246,Married,6-10 years,A few times per month,Architecture and Engineering Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,2,3,3,0
247,Married,16-20 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,East North Central,0,2,4,5,1
248,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$150,000+",Bachelor degree,East North Central,1,2,5,4,1
249,"Single, but cohabiting with a significant other",1-5 years,Never,"Education, Training, and Library Occupations",Male,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,0,1,2,4,1
250,Married,16-20 years,Never,Locksmith,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,0,4,2,3,1
251,Married,11-15 years,A few times per month,Management Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central,1,2,3,3,0
252,Married,6-10 years,Never,"Life, Physical, and Social Science Occupations",Male,30-44,"$50,000 - $99,999",Graduate degree,New England,0,2,3,5,1
253,Married,11-15 years,Never,"Life, Physical, and Social Science Occupations",Male,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,0,4,3,5,1
254,Married,More than 20 years,A few times per month,Retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,0,4,3,3,0
255,"Single, but cohabiting with a significant other",1-5 years,Every night,Healthcare Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,0
256,Married,11-15 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,0,3,4,4,0
257,Married,More than 20 years,A few times per week,"Education, Training, and Library Occupations",Female,> 60,"$100,000 - $149,999",Graduate degree,West North Central,1,4,4,5,0
258,Married,6-10 years,Every night,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,1,4,3,5,0
259,Divorced,11-15 years,Never,retired,Female,> 60,"$50,000 - $99,999",Bachelor degree,Mountain,1,4,3,4,1
260,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Female,30-44,Did not disclose,Bachelor degree,West South Central,1,2,0,4,0
261,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,2,3,3,1
262,Married,11-15 years,A few times per week,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,Mountain,0,3,3,4,0
263,Married,11-15 years,A few times per week,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,West South Central,1,2,2,4,0
264,Married,6-10 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,2,3,4,0
265,Married,More than 20 years,Every night,law enforcement,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,4,3,3,0
266,In a domestic partnership or civil union,Less than 1 year,Once a month or less,"Education, Training, and Library Occupations",Male,30-44,"$25,000 - $49,999",Graduate degree,Mountain,0,2,2,5,0
267,Married,11-15 years,Never,"Education, Training, and Library Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
268,Married,More than 20 years,Every night,Management & Community Development Consultant,Male,> 60,"$50,000 - $99,999",Graduate degree,Pacific,0,4,3,5,0
269,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,0,3,3,3,1
270,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,West South Central,0,3,4,3,1
271,Married,11-15 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,1,2,3,4,1
272,Married,1-5 years,Once a year or less,Healthcare Support Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,1,1,1,3,0
273,Married,16-20 years,Never,Architecture and Engineering Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,Pacific,0,3,4,5,1
274,Married,More than 20 years,Never,Legal Occupations,Male,> 60,"$150,000+",Graduate degree,West North Central,0,4,5,5,1
275,In a domestic partnership or civil union,6-10 years,A few times per month,Speculator,Male,30-44,"$50,000 - $99,999",Bachelor degree,Pacific,0,2,3,4,0
276,Married,11-15 years,A few times per month,Legal Occupations,Female,30-44,Did not disclose,Graduate degree,Middle Atlantic,1,2,0,5,0
277,Married,More than 20 years,Once a year or less,Architecture and Engineering Occupations,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,0
278,Married,More than 20 years,Once a month or less,Business and Financial Operations Occupations,Male,30-44,"$150,000+",Bachelor degree,Middle Atlantic,0,2,5,4,0
279,Married,11-15 years,Never,Government,Male,45-60,Did not disclose,Graduate degree,South Atlantic,0,3,0,5,1
280,"Single, but cohabiting with a significant other",1-5 years,Every night,"Life, Physical, and Social Science Occupations",Female,18-29,"$25,000 - $49,999",Bachelor degree,East North Central,1,1,2,4,0
281,Married,More than 20 years,Never,outdoor power equipment sales and service,Male,45-60,"$50,000 - $99,999",High school degree,New England,0,3,3,2,1
282,"Single, but cohabiting with a significant other",1-5 years,Every night,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Some college or Associate degree,West South Central,0,2,0,3,0
283,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,Middle Atlantic,0,4,4,5,0
284,Married,More than 20 years,Once a year or less,retired,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,0
285,Married,More than 20 years,Never,Management Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,0,3,5,5,1
286,Married,1-5 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$150,000+",Graduate degree,West South Central,1,2,5,5,0
287,Married,11-15 years,Never,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central,0,2,3,3,1
288,Married,6-10 years,Once a year or less,Food Preparation and Serving Related Occupations,Female,30-44,"$0 - $24,999",Some college or Associate degree,Pacific,1,2,1,3,0
289,Married,More than 20 years,Never,retired,Male,> 60,Did not disclose,Graduate degree,New England,0,4,0,5,1
290,Married,11-15 years,A few times per week,Business and Financial Operations Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Pacific,0,3,4,3,0
291,Married,More than 20 years,Never,Retired,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
292,Married,More than 20 years,Once a year or less,Semi-retired,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,0,4,4,5,0
293,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$50,000 - $99,999",Graduate degree,East North Central,1,3,3,5,1
294,Married,6-10 years,Never,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,3,3,5,1
295,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
296,Married,11-15 years,Once a month or less,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,South Atlantic,1,3,4,5,0
297,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Male,30-44,Did not disclose,Bachelor degree,East North Central,0,2,0,4,1
298,Married,6-10 years,A few times per month,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Graduate degree,East South Central,1,3,3,5,0
299,Divorced,1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,2,2,3,1
300,Married,More than 20 years,Never,Healthcare Practitioners and Technical Occupations,Female,> 60,"$150,000+",Graduate degree,Mountain,1,4,5,5,1
301,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,Did not disclose,Some college or Associate degree,New England,1,2,0,3,1
302,Married,More than 20 years,Once a year or less,Computer and Mathematical Occupations,Male,30-44,"$50,000 - $99,999",Bachelor degree,Mountain,0,2,3,4,0
303,"Single, but cohabiting with a significant other",1-5 years,Never,Pet Care,Female,18-29,Did not disclose,High school degree,South Atlantic,1,1,0,2,1
304,Married,16-20 years,Once a month or less,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,2,3,3,0
305,Married,More than 20 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
306,Married,More than 20 years,Never,Homemaker,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,1
307,Married,More than 20 years,Every night,telecomunication,Male,45-60,"$150,000+",Bachelor degree,Pacific,0,3,5,4,0
308,Married,More than 20 years,Every night,retired,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,1,4,4,5,0
309,"Single, but cohabiting with a significant other",6-10 years,Once a year or less,Research,Male,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,0,1,3,4,0
310,Married,6-10 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,New England,1,3,4,3,1
311,Married,6-10 years,Once a month or less,Agricultural business,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,1,2,4,5,0
312,Married,More than 20 years,Never,Retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2,1
313,Married,More than 20 years,Never,Retired,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic,1,4,2,3,1
314,Married,More than 20 years,Once a year or less,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Bachelor degree,West North Central,1,3,0,4,0
315,Married,6-10 years,Once a year or less,Management Occupations,Female,30-44,"$150,000+",Graduate degree,East North Central,1,2,5,5,0
316,Married,More than 20 years,Never,retired,Male,> 60,"$100,000 - $149,999",Bachelor degree,East North Central,0,4,4,4,1
317,Married,1-5 years,Never,retired,Female,> 60,Did not disclose,High school degree,East North Central,1,4,0,2,1
318,Married,16-20 years,Once a year or less,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Bachelor degree,New England,0,3,0,4,0
319,In a domestic partnership or civil union,More than 20 years,Once a month or less,disabled student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,Pacific,1,2,2,3,0
320,"Single, but cohabiting with a significant other",6-10 years,Never,Food Preparation and Serving Related Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,Middle Atlantic,1,1,3,4,1
321,In a domestic partnership or civil union,1-5 years,Never,Business and Financial Operations Occupations,Male,30-44,"$100,000 - $149,999",Graduate degree,Mountain,0,2,4,5,1
322,Married,11-15 years,A few times per month,maintenance,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Mountain,0,2,3,3,0
323,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Male,45-60,"$150,000+",Bachelor degree,West North Central,0,3,5,4,0
324,Married,More than 20 years,Never,Office and Administrative Support Occupations,Female,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,1,3,4,3,1
325,Married,More than 20 years,Once a year or less,"Arts, Design, Entertainment, Sports, and Media Occupations",Male,45-60,"$100,000 - $149,999",Graduate degree,West North Central,0,3,4,5,0
326,Married,More than 20 years,Never,Retired,Male,45-60,"$100,000 - $149,999",Graduate degree,East South Central,0,3,4,5,1
327,Married,More than 20 years,Once a month or less,education,Male,45-60,"$50,000 - $99,999",Graduate degree,East North Central,0,3,3,5,0
328,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
329,Married,More than 20 years,Once a month or less,Retired,Male,> 60,"$150,000+",Graduate degree,East North Central,0,4,5,5,0
330,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Management Occupations,Male,30-44,"$150,000+",Graduate degree,West North Central,0,2,5,5,0
331,Married,More than 20 years,Never,Construction and Extraction Occupations,Male,45-60,"$150,000+",Bachelor degree,Middle Atlantic,0,3,5,4,1
332,Married,More than 20 years,Never,Laid off from Computer and Mathematical Occupations,Male,> 60,"$50,000 - $99,999",Graduate degree,South Atlantic,0,4,3,5,1
333,Married,1-5 years,Once a year or less,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
334,"Single, but cohabiting with a significant other",1-5 years,Never,Unemployed,Male,18-29,"$0 - $24,999",Some college or Associate degree,Pacific,0,1,1,3,1
335,Married,11-15 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$25,000 - $49,999",Some college or Associate degree,West South Central,1,4,2,3,0
336,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Male,> 60,"$100,000 - $149,999",Graduate degree,West North Central,0,4,4,5,1
337,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,4,4,3,0
338,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,1,4,3,3,1
339,Married,6-10 years,Never,Production Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
340,Married,More than 20 years,Once a year or less,Legal Occupations,Female,45-60,Did not disclose,Some college or Associate degree,West North Central,1,3,0,3,0
341,Married,More than 20 years,Every night,Management Occupations,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,0,3,4,3,0
342,In a domestic partnership or civil union,16-20 years,Every night,state employment,Female,45-60,"$25,000 - $49,999",High school degree,East North Central,1,3,2,2,0
343,Married,More than 20 years,Never,Personal Care and Service Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
344,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,Office and Administrative Support Occupations,Female,30-44,"$100,000 - $149,999",Graduate degree,Pacific,1,2,4,5,0
345,Married,1-5 years,Never,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,1,3,4,1
346,Married,1-5 years,Once a year or less,Management Occupations,Female,45-60,"$150,000+",Bachelor degree,Middle Atlantic,1,3,5,4,0
347,Married,6-10 years,Never,"Education, Training, and Library Occupations",Female,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,1,1,3,4,1
348,Married,More than 20 years,Once a year or less,Transportation and Materials Moving Occupations,Male,> 60,"$50,000 - $99,999",Some college or Associate degree,West North Central,0,4,3,3,0
349,Married,More than 20 years,Never,Personal Care and Service Occupations,Female,45-60,"$0 - $24,999",Some college or Associate degree,New England,1,3,1,3,1
350,Married,More than 20 years,Never,"Pastor, ministry related occupation",Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,1
351,Married,6-10 years,Never,Business and Financial Operations Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,New England,1,3,3,3,1
352,Married,16-20 years,Never,"Education, Training, and Library Occupations",Female,30-44,"$50,000 - $99,999",Graduate degree,East North Central,1,2,3,5,1
353,Married,16-20 years,A few times per month,Sales and Related Occupations,Male,30-44,"$150,000+",Some college or Associate degree,Pacific,0,2,5,3,0
354,Married,More than 20 years,Once a year or less,retired,Female,> 60,"$100,000 - $149,999",Bachelor degree,Pacific,1,4,4,4,0
355,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,Pacific,0,4,5,5,1
356,Married,6-10 years,Once a year or less,Research,Male,18-29,"$0 - $24,999",Bachelor degree,East North Central,0,1,1,4,0
357,Married,More than 20 years,Never,Healthcare Support Occupations,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,1,3,3,3,1
358,Married,More than 20 years,Never,Computer and Mathematical Occupations,Male,45-60,Did not disclose,Graduate degree,New England,0,3,0,5,1
359,Married,More than 20 years,Never,Student,Female,30-44,"$25,000 - $49,999",Some college or Associate degree,West North Central,1,2,2,3,1
360,"Single, but cohabiting with a significant other",1-5 years,Never,Office and Administrative Support Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,New England,1,2,3,4,1
361,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,1
362,Married,More than 20 years,Never,"Arts, Design, Entertainment, Sports, and Media Occupations",Female,> 60,Did not disclose,Graduate degree,New England,1,4,0,5,1
363,Married,More than 20 years,A few times per month,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,0,4,5,5,0
364,"Single, but cohabiting with a significant other",1-5 years,Never,Student,Female,18-29,"$100,000 - $149,999",Some college or Associate degree,Pacific,1,1,4,3,1
365,Married,More than 20 years,Never,Sales and Related Occupations,Female,45-60,Did not disclose,Bachelor degree,New England,1,3,0,4,1
366,Married,More than 20 years,Never,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Bachelor degree,Pacific,1,3,4,4,1
367,Married,1-5 years,Never,Student,Female,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain,1,1,2,3,1
368,Married,More than 20 years,Every night,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,East North Central,0,4,4,5,0
369,In a domestic partnership or civil union,6-10 years,Never,retired,Female,45-60,"$50,000 - $99,999",Some college or Associate degree,Pacific,1,3,3,3,1
370,Married,More than 20 years,Never,Management Occupations,Male,> 60,"$150,000+",Graduate degree,South Atlantic,0,4,5,5,1
371,Married,More than 20 years,Every night,"Education, Training, and Library Occupations",Female,45-60,Did not disclose,Graduate degree,South Atlantic,1,3,0,5,0
372,Married,More than 20 years,A few times per week,Retired,Male,> 60,"$100,000 - $149,999",Graduate degree,New England,0,4,4,5,0
373,Married,More than 20 years,Once a year or less,Management Occupations,Male,> 60,Did not disclose,Graduate degree,South Atlantic,0,4,0,5,0
374,Married,More than 20 years,Every night,Office and Administrative Support Occupations,Female,> 60,"$100,000 - $149,999",Some college or Associate degree,East North Central,1,4,4,3,0
375,Married,More than 20 years,Never,nonprofit,Male,45-60,"$50,000 - $99,999",Graduate degree,East South Central,0,3,3,5,1
376,Married,11-15 years,Once a month or less,Personal Care and Service Occupations,Female,30-44,"$50,000 - $99,999",Graduate degree,West North Central,1,2,3,5,0
377,Married,More than 20 years,Never,Retired,Male,45-60,"$150,000+",Graduate degree,West North Central,0,3,5,5,1
378,Married,6-10 years,Never,IT Consultant,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
379,Divorced,1-5 years,Once a month or less,bartender,Male,45-60,"$100,000 - $149,999",Some college or Associate degree,East North Central,0,3,4,3,0
380,Married,6-10 years,Never,Sales and Related Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,1
381,"Single, but cohabiting with a significant other",1-5 years,Every night,Office and Administrative Support Occupations,Female,18-29,"$50,000 - $99,999",Bachelor degree,West North Central,1,1,3,4,0
382,Separated,1-5 years,Once a month or less,Management Occupations,Female,30-44,"$25,000 - $49,999",Bachelor degree,Pacific,1,2,2,4,0
383,Married,11-15 years,A few times per week,Sales and Related Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,South Atlantic,1,2,3,4,0
384,"Single, but cohabiting with a significant other",1-5 years,A few times per month,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,2,0,0,0,0
385,Married,6-10 years,Never,Sales and Related Occupations,Female,45-60,"$100,000 - $149,999",Bachelor degree,East North Central,1,3,4,4,1
386,Married,6-10 years,Never,Computer and Mathematical Occupations,Male,30-44,Did not disclose,Some college or Associate degree,New England,0,2,0,3,1
